text,label
"Congratulations! You've won a free vacation package. Reply WIN now!",spam
"Hey, are we still meeting for lunch at 1 PM?",ham
"URGENT! Your account has been compromised. Verify immediately.",spam
"Can you send me the report before evening?",ham
"You have been selected for a cash prize. Claim now.",spam
"Don't forget to bring your notebook tomorrow.",ham
"Limited offer! Buy now and get 70% off.",spam
"Thanks for your help with the assignment.",ham
"Winner! Click the link to receive your reward.",spam
"I'll call you after I finish work.",ham
"Earn money fast from home. No experience needed.",spam
"Please review the attached project timeline.",ham
